factor,gpt-3.5-trubo,flan_t5_small,gpt_neox,bloom_7b,opt_iml_30b,opt_6.7b,65B,t0_3b,flan_t5_large,opt_iml_max_1.3b,opt_125m,text-davinci-003,30B,flan_t5_xxl,gpt_j,7B,13B,GLM130B,text-davinci-002,opt_350m,opt_2.7b,opt_1.3b,flan_t5_xl,flan_t5_base,t0_11b,opt_30b,opt_13b
opt_125m,0.4295718992702137,0.3014971630532333,0.17241364754415653,0.6918411984825081,0.514225006007831,0.7193350874136345,0.4583900251618499,0.3214108834120145,0.2759575012764555,0.8201302261859336,0.8784337635817798,0.3582785664685979,0.26513184458335887,0.3008143955355057,0.3762842364758058,0.15187188669245757,0.4518721498519501,0.43246009641853456,0.31414875827778416,0.6512374906795005,0.3370120463976138,0.7632627239345426,0.29378703622837643,0.3090764085551502,0.30308485149603703,0.10527993161186769,0.04581040903800404
text-davinci-003,0.9751796050949557,0.32369509297108695,0.21488219124023047,0.342577395454655,0.28653169690594793,0.4386789307937707,0.6704012793543987,0.44282731738434195,0.1857533867976424,0.7227996768363084,0.7823906412918712,0.9787310134796413,0.5170351179749848,0.39472142451938447,0.1790466584065603,0.2863574566174654,0.6692155468289575,0.5814448196047055,0.7417098734363348,0.33210876742227935,0.19258387363321613,0.5340825792911941,0.31956859472321175,0.3647129508745058,0.48293932833809733,0.08583691392374061,0.11361410386402328
30B,0.1993376020823252,0.04802251597523617,0.03341308952308023,0.03812205453241643,0.03938567228189997,0.05735378347660703,0.8970408067528318,0.05492723917008555,0.1669439761356647,0.21165871964506372,0.26605717051002914,0.07049628534532118,0.8512133790627361,0.08340000655914984,0.02931997742808294,0.7127526614194764,0.8870128737715206,0.8977580470341416,0.23965015022131841,0.06417505463211955,0.032866309246650065,0.1036585448311917,0.060715461416719,0.05630961081396232,0.08964025095914757,0.019399783237021864,0.021555168115021287
flan_t5_xxl,0.7404185043048653,0.7974594467217337,0.5345599150153411,0.7471964841646446,0.7652388101493629,0.7359252215168417,0.6925921256238674,0.8304285046918968,0.8090054406688478,0.8232984614173577,0.8026562815546994,0.6870428635198981,0.4605481164475087,0.9842855535908854,0.12480937494988051,0.08494712375848644,0.7544783003643819,0.8468410575676991,0.6728294322202196,0.7719910097568536,0.5409207614938608,0.7691627642118766,0.8060515587322277,0.7921199397319217,0.9175699586577173,0.10705019965410831,0.12183163654352754
gpt_j,0.036622862833800084,0.07242057914588947,0.12444007929580059,0.9279013330283399,0.7624163371738504,0.871152596771974,0.04307056464561884,0.0572521502705368,0.06955670338616274,0.5480803488010623,0.45104280758121845,0.03057775628839708,0.03005031380357831,0.0711644410891828,0.8296081414462608,0.025731661102420846,0.034493660346133846,0.026561709564484788,0.035997853525199,0.5415599968115079,0.7593925015475869,0.859651685882216,0.06790813747056142,0.06635519328427264,0.0773014940237349,0.12672537860726693,0.06648438998005725
7B,0.18909347585958966,0.044937374037565675,0.034200531295556516,0.0355452616499437,0.035903392051480576,0.05167636995508908,0.9229710680782641,0.05165471902458525,0.1656097281140912,0.19301331997228996,0.3181591686686463,0.07113856635574804,0.8888286626237397,0.09027037694384737,0.028286990897785042,0.7920103586768169,0.9343380155301738,0.9511667125908276,0.26322598711973744,0.09714476915066246,0.02858091614345966,0.09448984694549586,0.047791143797858,0.046129541968913945,0.07252731233027453,0.019954402418713747,0.02206490144232882
13B,0.18066396653213923,0.023912309533172978,0.034398374904397594,0.027413528802006162,0.023930218241149756,0.048994748180821,0.9564949742365849,0.03876738747051653,0.15402168907209543,0.18219965062848567,0.2900875579124551,0.06511660605091933,0.8894386416972517,0.05411665012799889,0.027811009174589243,0.7657311021934772,0.9554118864459654,0.9449750584064266,0.26323724776185103,0.07439920557537179,0.032351861286324,0.08958729980115347,0.02679830645615075,0.02819631800705523,0.05239499865105725,0.01845562144711477,0.03135378494938662
GLM130B,0.2771721547756607,0.07452784682634746,0.054343401246722545,0.056839524411071235,0.0720630679561453,0.0823833569069927,0.9637789174349769,0.09317407653968332,0.32022016135370174,0.2902159197570225,0.3703354686452966,0.07901494251280411,0.9387949292945549,0.1837370537345721,0.031971060325974104,0.8236062021262816,0.973565304438247,0.9868298931301746,0.357991076417864,0.1299232269794228,0.03573553279425166,0.13242143464132317,0.08306187129401973,0.07815028377473555,0.11520954262763784,0.018601739337590798,0.023479230715513794
text-davinci-002,0.9076268970181925,0.6497106885404063,0.35136653198601286,0.526443978382432,0.5163830977950469,0.5666199632925752,0.8695518462546461,0.6525956142472266,0.5004550789554224,0.8160356580479216,0.8289813797897786,0.8672783096202186,0.763070697558085,0.6866162566138153,0.20067255712233867,0.38053868076786834,0.8745371846862914,0.83190241311637,0.8380634948506244,0.5183916953858074,0.32552991119191466,0.6823207572520518,0.6303357541386818,0.662940344705112,0.734455899341745,0.08365489791397045,0.10660014120584688
opt_350m,0.23401556239111884,0.21571728312444258,0.3058348212698194,0.8397448672663973,0.5926751636719487,0.7937394610626979,0.20590852400049237,0.3105789831906285,0.1898139731662711,0.7581758185876186,0.8174418025061151,0.19909941419356994,0.1180996317850265,0.2767199272903229,0.6933228906864464,0.07471851260982666,0.2509430583185765,0.24421054525808505,0.2111853207334674,0.96222488247049,0.5898921020407177,0.84185155345256,0.2372817845930676,0.22519136406888002,0.28186400016766744,0.1614140590207285,0.17443137366595096
opt_2.7b,0.2030366874635179,0.2934981992399591,0.41779707365403745,0.961859435310107,0.8902988840169376,0.9519728948166105,0.10949681980937886,0.2810282651365608,0.2777532231055221,0.818172437149593,0.7048138107902049,0.15537581856011295,0.051670321335719714,0.2962558403458766,0.8065881046627497,0.031939443451877894,0.09432948968897739,0.10948513625928404,0.13709024507336254,0.8043649717813451,0.8698026759523746,0.9517037905424037,0.2978588649522677,0.2922623565819947,0.3149238446298701,0.21214573947282636,0.11457521152095619
opt_1.3b,0.1864049231295956,0.19404940888880512,0.1934547438906971,0.8081758843090054,0.7233335082568089,0.8453720608919857,0.1898064570170275,0.20188187748228945,0.17917795495192643,0.7567560220639933,0.7207280620192077,0.15980612571693203,0.10068868568895767,0.19407216216793868,0.5861721195426398,0.0634926799729377,0.1699021567214793,0.14489055200676315,0.14820292273659194,0.5697106955552311,0.6588067549495207,0.8834906299546168,0.19017240600772042,0.18947742212697136,0.20045433688588324,0.12726591453687267,0.054068423575231644
flan_t5_xl,0.9071893849042386,0.9723502512117441,0.7534283416151147,0.9608593410072479,0.976299837346089,0.9721275820082519,0.6645551676528082,0.9793575979932321,0.9766370921000272,0.9705757491556435,0.9672398382130242,0.8157662859072974,0.3104554042948041,0.9937748324094245,0.1643896545465014,0.05905599306240346,0.6340720732344891,0.7957702658907895,0.705118584732634,0.9526015544943075,0.7452889383207832,0.9701594460720995,0.9768023327971102,0.9727951307346476,0.9743447096228889,0.18696465961636946,0.0680749267560309
flan_t5_base,0.9391741039330447,0.9901145926821973,0.7111399424109857,0.961530125598264,0.9903435634933054,0.9904154970538401,0.7401150166914199,0.9911583161875105,0.9910199085754252,0.9907033881513772,0.9895458037442236,0.855544052878481,0.4194019611181747,0.9998969284683571,0.16262923347549196,0.06555886683516168,0.7363495418421067,0.8223593438417368,0.7562069557420386,0.9670880093885519,0.7520433616089759,0.9902784992048486,0.9916141001855288,0.9905851843499831,0.991266506602641,0.1156664179072627,0.05402723786954713
t0_11b,0.8997619968117897,0.9517188666263114,0.6922447214454517,0.9174196863313882,0.9336002563035195,0.9302519958832894,0.7279040909318245,0.9772738104839739,0.9413422305822513,0.9569114326474166,0.9430539040323048,0.8106448831887909,0.38737071929469935,0.9646721750491528,0.16970205454680926,0.0670338510726437,0.7195354704838157,0.8072160159329534,0.7415555701817452,0.9332964096196759,0.6975811806952403,0.9372038841833158,0.9551743654618694,0.949498262318837,0.9957902302218269,0.16915735983915806,0.06778819375016182
opt_30b,0.23120343478571873,0.34194951611876034,0.6072357263532027,0.9954089382105463,0.9265662198773215,0.9673125568808155,0.14574408094094884,0.3993524535426329,0.30827671625753433,0.7833097295510815,0.5944903180125582,0.20758718510842913,0.046352878904996064,0.3679223433137078,0.8305274719413449,0.023577090909637305,0.1212955546452854,0.16565686205671085,0.18214251198946466,0.9234213192079455,0.9352115945414702,0.9397049354870364,0.3706833590203443,0.34884194663437534,0.35694615273681174,0.42955416498206556,0.1908537554980243
opt_13b,0.13999058674605788,0.3460376849647468,0.9410788161777093,0.9989831346503585,0.9416721823705316,0.9666872063011864,0.07235961612601008,0.4746807392065528,0.3051555806543436,0.7028185767440421,0.4524557421409654,0.12070056780851841,0.02416354335451737,0.39381085117749487,0.9025986857495139,0.017255855160704516,0.06032659251411086,0.11267502003729293,0.11037854849772247,0.980696550114841,0.9740234221089956,0.8947064727812749,0.3980087271709748,0.339991972692257,0.3483067621625998,0.678553209984307,0.47952327605619693
